근육명,,증상명,원인내용
대퇴직근 ,,계단을 내려갈 때 다리에 힘이 없다,"당뇨 환자가 다리에 인슐린 주사를 맞았을 때, 계단을 내려가면서 다리를 헛 디뎠을 때, 운동을 하면서 무릎을 많이 구부리는 경우, 무릎(넓적다리) 위에 무거운 물건을 놓고 오래 앉아 있을 때, 한발을 엉덩이 밑에 깔고 앉을 때, 고관절 골절이 있을 때 "
내측광근,,울퉁불퉁한 길을 걷다가 무릎에 힘이 빠져 휘청한다,"당뇨 환자가 다리에 인슐린 주사를 맞았을 때, 계단을 내려가면서 다리를 헛 디뎠을 때, 운동을 하면서 무릎을 많이 구부리는 경우, 무릎(넓적다리) 위에 무거운 물건을 놓고 오래 앉아 있을 때, 한발을 엉덩이 밑에 깔고 앉을 때, 평발인 경우, 달리기, 축구 등을 하면서 발이 과도하게 발이 내전되었을 때, 안전벨트를 하지 않은 상태에서 자동차 사고를 당하여 무릎을 앞쪽에 찧었을 때, 단단한 바닥에 무릎 꿇고 앉아 있을 때 "
중간광근 ,,무릎이 휘청한다,"당뇨 환자가 다리에 인슐린 주사를 맞았을 때, 계단을 내려가면서 다리를 헛 디뎠을 때, 운동을 하면서 무릎을 많이 구부리는 경우, 무릎(넓적다리) 위에 무거운 물건을 놓고 오래 앉아 있을 때, 한발을 엉덩이 밑에 깔고 앉을 때, 다른 광근의 2차 유발점"
중간광근 ,,무릎을 쭉 뻗기 어렵다,"당뇨 환자가 다리에 인슐린 주사를 맞았을 때, 계단을 내려가면서 다리를 헛 디뎠을 때, 운동을 하면서 무릎을 많이 구부리는 경우, 무릎(넓적다리) 위에 무거운 물건을 놓고 오래 앉아 있을 때, 한발을 엉덩이 밑에 깔고 앉을 때, 다른 광근의 2차 유발점"
비복근,,밤에 종아리에 쥐가 난다,"급경사길을 걷거나 달려서 올라갔을 때, 안장이 낮은 자전거를 탔을 때, 발목이나 다리의 골절이 있을 때, 양말 입구의 고무가 근육을 누르는 경우, 굽이 높은 구두를 신었을 때, 발목을 아래로 뻗고 잠을 잤을 때, 의자의 다리 받침이 종아리를 누르는 경우"
다열근,,머리와 목을 숙여서 고개를 돌리면 돌아가는 범위가 제한되면서 아프다,"교통사고나 수영장에서 다이빙을 하다가 머리를 부딪치는 경우, 오랫동안 고개를 숙이고 있는 경우, 엎드려서 텔레비전을 보는 경우, 무거운 코트의 단단한 목칼라가 목을 누르는 경우, 바느질을 하거나, 책을 읽거나 글을 쓰고, 컴퓨터를 다루면서 계속 목을 앞으로 숙이고 있을 때"
가자미근,,발이 뒤로 제쳐지는 것이 제한된다,"근육이 추위에 노출 되었을 때, 다리 길이가 짧을 때, 딱딱하고 미끄러운 길을 신바닥이 부드러운 신을 신고 걸으면서 발이 미끌어지는 경우, 가파른 언덕을 한참 올라갔을 때, 해변을 걸은 경우, 신발의 발바닥이 뻣뻣한 경우, 계단에서 발을 헛디뎌 한발의 발 끝으로만 계단을 밟게 된 경우, 계속해서 발목을 바닥쪽으로 굽히고 있을 때(의자의 좌석이 높아서 발이 바닥에 닿지 않을 때, 자면서 발을 바닥쪽으로 향하게 하는 경우"
가자미근,,언덕을 오르거나 내려갈 때 무릎 뒤가 아프다,"근육이 추위에 노출 되었을 때, 다리 길이가 짧을 때, 딱딱하고 미끄러운 길을 신바닥이 부드러운 신을 신고 걸으면서 발이 미끌어지는 경우, 가파른 언덕을 한참 올라갔을 때, 해변을 걸은 경우, 신발의 발바닥이 뻣뻣한 경우, 계단에서 발을 헛디뎌 한발의 발 끝으로만 계단을 밟게 된 경우, 계속해서 발목을 바닥쪽으로 굽히고 있을 때(의자의 좌석이 높아서 발이 바닥에 닿지 않을 때, 자면서 발을 바닥쪽으로 향하게 하는 경우"
가자미근,,소아시절에 나타나는 성장통,"근육이 추위에 노출 되었을 때, 다리 길이가 짧을 때, 딱딱하고 미끄러운 길을 신바닥이 부드러운 신을 신고 걸으면서 발이 미끌어지는 경우, 가파른 언덕을 한참 올라갔을 때, 해변을 걸은 경우, 신발의 발바닥이 뻣뻣한 경우, 계단에서 발을 헛디뎌 한발의 발 끝으로만 계단을 밟게 된 경우, 계속해서 발목을 바닥쪽으로 굽히고 있을 때(의자의 좌석이 높아서 발이 바닥에 닿지 않을 때, 자면서 발을 바닥쪽으로 향하게 하는 경우"
가자미근,,허리가 아프다,"근육이 추위에 노출 되었을 때, 다리 길이가 짧을 때, 딱딱하고 미끄러운 길을 신바닥이 부드러운 신을 신고 걸으면서 발이 미끌어지는 경우, 가파른 언덕을 한참 올라갔을 때, 해변을 걸은 경우, 신발의 발바닥이 뻣뻣한 경우, 계단에서 발을 헛디뎌 한발의 발 끝으로만 계단을 밟게 된 경우, 계속해서 발목을 바닥쪽으로 굽히고 있을 때(의자의 좌석이 높아서 발이 바닥에 닿지 않을 때, 자면서 발을 바닥쪽으로 향하게 하는 경우"
족저근 ,,무릎 뒤가 아프다,"근육이 추위에 노출 되었을 때, 다리 길이가 짧을 때, 딱딱하고 미끄러운 길을 신바닥이 부드러운 신을 신고 걸으면서 발이 미끌어지는 경우, 가파른 언덕을 한참 올라갔을 때, 해변을 걸은 경우, 신발의 발바닥이 뻣뻣한 경우, 계단에서 발을 헛디뎌 한발의 발 끝으로만 계단을 밟게 된 경우, 계속해서 발목을 바닥쪽으로 굽히고 있을 때(의자의 좌석이 높아서 발이 바닥에 닿지 않을 때, 자면서 발을 바닥쪽으로 향하게 하는 경우"
장족지신근 ,,소아시절에는 과도한 육체적인 활동 후에 나타나는 성장통이 있다,"자동차 가속 페달이 빡빡한 경우, 굽이 높은 신을 신었을 때, 아킬레스 건이 짧아진 경우, 달리기를 많이 한 때, 고르지 않은 길을 걸었을 때, 비골이나 경골이 골절되었을 때, 발을 발바닥쪽으로 구부린채 잠을 잤을 때"
장족지신근 ,,걷는 동안 발에 힘이 약하다,"자동차 가속 페달이 빡빡한 경우, 굽이 높은 신을 신었을 때, 아킬레스 건이 짧아진 경우, 달리기를 많이 한 때, 고르지 않은 길을 걸었을 때, 비골이나 경골이 골절되었을 때, 발을 발바닥쪽으로 구부린채 잠을 잤을 때"
장모지신근 ,,밤에 쥐가 난다,"자동차 가속 페달이 빡빡한 경우, 굽이 높은 신을 신었을 때, 아킬레스 건이 짧아진 경우, 달리기를 많이 한 때, 고르지 않은 길을 걸었을 때, 비골이나 경골이 골절되었을 때, 발을 발바닥쪽으로 구부린채 잠을 잤을 때"
후두하근 ,,뒷 머리가 아파서 베개를 벨 수 없다,"엎드려서 팔꿈치를 고이고 텔레비전을 보는 경우, 머리를 뒤로 제친 상태에서 목을 앞으로 내민 자세, 고개를 들어 위를 보는 경우, 목의 뒤부분이 찬바람에 노출된 경우"
모지외전근 ,,신발을 바꾸거나 깔창을 맞추었다,"신발이 발을 조일 때, 석고 붕대를 하고 발가락을 움직이지 못했을 때, 심한 평발인 경우, 발에 외상이 가해진 경우, 미끄러운 바닥에서 바퀴달린 의자를 굴리려고 할 때, 울퉁불퉁한 길에서 달리기를 하였을 때 "
단족지굴근 ,,신발을 바꾸거나 깔창을 맞추었다,"신발이 발을 조일 때, 석고 붕대를 하고 발가락을 움직이지 못했을 때, 심한 평발인 경우, 발에 외상이 가해진 경우, 미끄러운 바닥에서 바퀴달린 의자를 굴리려고 할 때, 울퉁불퉁한 길에서 달리기를 하였을 때 "
족저방형근 ,,발이 부은 느낌이다,"신발이 발을 조일 때, 발에 골절이 있을 때, 발에 타박상을 입었을 때, 발가락으로 단단한 것을 찼을 때, 모래 위를 걸었을 때, 울퉁불퉁한 길을 걸었을 때, 추운날 젖은 양말을 신었을 때, 평발이 심할 때, 신발 바닥이 뻣뻣한 경우"
모지내전근 ,,통증 때문에 걷기 어렵다,"신발이 발을 조일 때, 발에 골절이 있을 때, 발에 타박상을 입었을 때, 발가락으로 단단한 것을 찼을 때, 모래 위를 걸었을 때, 울퉁불퉁한 길을 걸었을 때, 추운날 젖은 양말을 신었을 때, 평발이 심할 때, 신발 바닥이 뻣뻣한 경우"
단모지굴근 ,,발이 저린다,"신발이 발을 조일 때, 발에 골절이 있을 때, 발에 타박상을 입었을 때, 발가락으로 단단한 것을 찼을 때, 모래 위를 걸었을 때, 울퉁불퉁한 길을 걸었을 때, 추운날 젖은 양말을 신었을 때, 평발이 심할 때, 신발 바닥이 뻣뻣한 경우"
견갑거근 ,,목이 아프다,"고개를 돌려 옆에 있는 원고를 보면서 키보드를 치는 경우, 전화를 오래 거는 경우, 무거운 가방을 들 때, 고개를 한쪽으로 숙이고 잠을 잔 경우, 세상의 무게가 어깨를 누르는 것 같은 정신적인 스트레스, 의자에 앉아 높은 팔걸이에 팔을 얹고 있는 경우, "
사각근 ,,손이 저린다,"직접적인 외상, 무거운 것을 들었을 때, 수영 시합을 하였을 때, 커다란 물건 옮기기, 갑작스럽게 심한 기침을 하였을 때, 편타성 손상, 양쪽 다리 길이에 차이가 있거나 골반의 크기가 달라서  어깨의 높이가 다른 경우"
사각근 ,,손이 붓는다,"직접적인 외상, 무거운 것을 들었을 때, 수영 시합을 하였을 때, 커다란 물건 옮기기, 갑작스럽게 심한 기침을 하였을 때, 편타성 손상, 양쪽 다리 길이에 차이가 있거나 골반의 크기가 달라서  어깨의 높이가 다른 경우"
극상근,,"팔을 들어올릴 때 어깨의 운동이 제한된다(머리 빗기, 양치질하기, 면도하기, 테니스에서 서비스 할 때)","무거운 물건 옮기기, 질퍽한 논에서 경운기를 사용하는 경우, 팔을 뻗어서 물건을 어깨 높이로 들어 올릴 때"
소원근 ,,어깨를 움직일 때 약지와 새끼 손가락이 저리다,"운전대를 잡은 상태에서 충돌하였을 경우, 머리 위로 물건을 들고 있다가 균형을 잃고 휘청거렸을 때, 비좁은 장소에서 팔을 들고 일을 하였을 때"
삼각근,,팔을 옆으로 들어올릴 때 아프다,"사격을 할 때 반복되는 반동과 같은 유형의 반동, 넘어지면서 난간을 잡았을 때, 어깨 높이에서 오랫동안 물건 들고 있을 때, 어깨 높이보다 높은 곳에서 작업을 한 경우 "
흉쇄유돌근,,구역질이 난다,"급성 또는 만성으로 무리한 경우, 머리를 앞으로 많이 내민 자세, 텔레비젼을 보거나 대화를 하면서 오래 동안 한쪽으로 고개를 돌리고 앉아 있을 때, 베개를 높이 벤 경우, 천장 페인트 칠하기, 칠판에 글씨 쓰기, 커튼 달기, 무대가 높은 극장의 앞좌석에서 관람한 경우, 자동차 사고 때 목이 휘청한 경우(편타성 손상), 기흉이나 천식으로 인한 만성 기침, 셔츠나 넥타이로 목이 조이는 경우, 요추 천자후 두통, 축농증이나 치아의 화농"
흉쇄유돌근,,위가 아프다,"급성 또는 만성으로 무리한 경우, 머리를 앞으로 많이 내민 자세, 텔레비젼을 보거나 대화를 하면서 오래 동안 한쪽으로 고개를 돌리고 앉아 있을 때, 베개를 높이 벤 경우, 천장 페인트 칠하기, 칠판에 글씨 쓰기, 커튼 달기, 무대가 높은 극장의 앞좌석에서 관람한 경우, 자동차 사고 때 목이 휘청한 경우(편타성 손상), 기흉이나 천식으로 인한 만성 기침, 셔츠나 넥타이로 목이 조이는 경우, 요추 천자후 두통, 축농증이나 치아의 화농"
